Date (UTC),"Country, Region (Epicenter)",Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsunami Height
10/28/2015,"China, Yunnan",4.7,8,,--,--,2 - 3,5314,0,--
10/29/2015,"Turkey, Van",4.8,5,,--,1,2,,,--
10/30/2015,"Madagascar, Sava",4.7,,,--,--,1 - 2,,,--
10/30/2015,"China, Yunnan",5.1,10,VI,--,--,4 - 5,38036,255,--
11/1/2015,"New Zealand, Manawatu-Wanganui",5.4,39,,--,--,1,2,0,--
11/1/2015,"Slovenia, Brezice",4.4,5,VI,--,--,1,,0,--
11/2/2015,"USA, Arizona",4.1,,,--,--,1,,0,--
11/2/2015,"Pakistan, FATA",5.2,,,--,,2,,,--
11/3/2015,"Slovakia, Banska Bystrica ",3.2,,,--,--,1,,0,--
11/3/2015,"Russia, Krasnodar",4.7,,,--,--,1,,0,--
11/4/2015,"Indonesia, East Nusa Tenggara",6.4,14,,--,3,3 - 4,2075,,--
11/4/2015,"OS Indonesia, Banten",5.2,,,--,--,1,,0,--
11/6/2015,"France, Alpes Côte d'Azur",4.4,,V,--,--,1,,0,--
11/6/2015,"Brazil, Bahia",3.2,,,--,--,1 - 2,,0,--
11/7/2015,"Venezuela, Merida",5.1,5,,1,4,2 - 3,398,0,--
11/7/2015,"Chile, Coquimbo",6.8,48,VII,--,--,1 - 2,,0,--
11/7/2015,"USA, Oklahoma","[4,1]",5,,--,--,1 - 2,,0,--
11/8/2015,"OS Indonesia, Sumatra Utara",6.0,,,--,--,1,2,0,--
11/11/2015,"OS Chile, Coquimbo",6.9,,VII,--,--,--,0,0,15 cm
11/11/2015,"OS Indonesia, Yogyakarta",5.6,,V ,--,1,2,,0,--
11/13/2015,"Argentina, Cordoba",5.8,,,--,--,2,,0,--
11/13/2015,"OS Japan, Kagoshima",7.0,,JMA 4,--,--,--,0,0,30 cm
11/16/2015,"Turkmenistan, Balkan Welayaty",4.5,,,--,--,1 - 2,,,--
11/17/2015,"OS Greece, Ionian Islands",6.4,5,VII,2,5,3 - 4,120,42,15 cm
11/17/2015,"Kyrgyzstan, Osh",5.9,,VII,--,--,4 - 5,2919,453,--
11/17/2015,"Poland, Lesser Poland","[3,7]",1,,--,--,1,17,0,--
11/19/2015,"USA, Oklahoma","[4,7]",6,VI,--,--,1 - 2,,0,--
11/20/2015,"Kyrgyzstan, Osh (aftershock)",5.1,,VI,--,--,2,,0,--
11/20/2015,"Indonesia, North Molukka",4.8,,V,--,1,2 - 3,497,0,--
10/21/2015,"Kyrgyzstan, Jalalabad",4.4,,V,--,--,1,2,0,--
11/21/2015,"Indonesia, Central Java",3.2,,III,1,--,--,0,0,--
11/22/2015,"Afghanistan, Badakhshan",5.8,92,V,2,--,3 - 4,,25,--
11/22/2015,"Venezuela, Merida",5.1,5,,1,3,2,,1,--
11/22/2015,"China, Qinghai",5.2,10,,--,--,2,57,0,--
11/23/2015,"Mexico, Guerrero",5.6,,,2,--,1 - 2,,0,--
11/23/2015,"Indonesia, North Molukka",4.6,,,--,--,2 - 3,437,,--
11/24/2015,"Bolivia, Santa Cruz",5.0,,,--,--,1 - 2,13,1,--
11/24/2015,"Peru, Madre de Dios",7.5,598,VI,--,--,2,70,0,--
11/25/2015,"Peru, Arequipa  ",4.5,,,--,--,1,0,0,--
11/25/2015,"Iran, Chuzestan",5.3,12,,--,--,1 - 2,,,--
11/26/2015,"Dominican Republic, Azua",5.0,,,--,--,1,1,0,--
11/27/2015,"Brazil, Acre (aftershock)",5.1,627,,--,--,1,1,0,--
11/27/2015,"Myanmar, Sagaing",5.5,,,,,3,,3,--
11/28/2015,"OS Indonesia, Banten",5.6,75,,--,--,1 - 2,,0,--
11/29/2015,"Turkey, Malatya",5.1,5,,--,1,3,873,,--
11/30/2015,"USA, Oklahoma","[4,7]",5,,--,--,1,,0,--
12/1/2015,"Kyrgyzstan, Jalalabad",5.3,,VI ,--,--,1 - 2,22,0,--
12/1/2015,"Indonesia, North Molukka",4.8,,,--,--,3,659,,--
12/2/2015,"Turkey, Bingol",5.5,5,,--,--,3,584,2,--
12/4/2015,"Iran, Farashband",5.0,20,,--,3,2,,,--
12/7/2015,"Tajikistan, Badakhshan",7.2,30,VII,2,10,4,677,237,--
