Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Lat,Long,Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
26.05.2019,Peru,Loreto,8.0,earthquake,tectonic,115,,"-5,796","-75,298",2,25,4119,2.165,1829,1444,--
,,,8.0,,,,,,,2,10,4099,2.146,1576,1444,--
,,,8.0,,,,,,,0,15,20,0.875,253,,--
30.05.2019,El Salvador,Offshore,6.6,earthquake,tectonic,65,,"13,243","-89,272",1,1,,0.457,66,,--
01.06.2019,Albania,Korçë,5.3,EQ Sequence,tectonic,14,,40.47,20.71,0,4,230,1.081,307,97,--
09.06.2019,Netherlands,Groningen,2.5,earthquake,gas prod,3,,53.32,"6,767",0,0,0,0.337,127,0,--
14.06.2019,Chile,Coquimbo,6.4,earthquake,tectonic,12,,"-30,056","-72,082",0,0,0,0.000,0,0,6 cm
15.06.2019,New Zealand,Kermadec Islands,7.2,earthquake,tectonic,34,,"-30,805","-178,095",0,0,0,0.000,0,0,9 cm
17.06.2019,China,Sichuan,5.8,earthquake,waste water injection?,16,VIII,28.41,104.98,13,231,81396,3.385,40000,16000,--
18.06.2019,Japan,Yamagata,6.5,earthquake,tectonic,11,6 +,"38,646","139,472",0,41,0,1.343,1043,33,11 cm
19.06.2019,Indonesia,Papua,6.3,earthquake,tectonic,13,VII,"-2,252","138,404",0,,100,0.608,19,34,--
21.06.2019,France,Maine-et-Loire,5.1,earthquake,tectonic,,VI,47.15,-0.34,0,0,0,0.012,3,0,--
21.06.2019,India,Maharashtra,3.7,earthquake,tectonic,10,,19.7,77.9,0,0,0,0.151,45,0,--
23.06.2019,China,Sichuan,5.4,aftershock,tectonic,10,,28.43,104.77,0,31,,0.953,,4,--
23.06.2019,Spain,Murcia,3.8,earthquake,tectonic,9,,37.56,-1.66,0,0,0,0.004,1,0,--
23.06.2019,Italy,Lazio,3.6,earthquake,tectonic,9,,41.86,12.77,0,0,0,0.020,5,0,--
24.06.2019,Indonesia,Papua,6.1,earthquake,tectonic,28,,"-2,791","138,547",0,0,,0.020,5,,--
24.06.2019,Indonesia,Maluku,7.3,earthquake,tectonic,208,,"-6,389","129,220",0,0,0,0.000,,,--
,,,7.3,earthquake,,,,,,0,0,0,0.004,1,,--
24.06.2019,China,Yunnan,4.7,earthquake,tectonic,,,24.98,101.67,0,0,19,0.180,18,0,--
#24.06.2019,#Sudan,#Sannar,,#earthquake,,,,,,#12,#12,#250,,,#100,--
26.06.2019,Panama,Chiriqui,6.3,earthquake,tectonic,31,,"8,449","-82,768",0,1,,0.238,18,10,--
,,,6.3,,,,,,,0,0,,0.031,8,,--
26.06.2019,Namibia,Erongo,3.6,earthquake,tectonic,15,,-21.5,15.9,0,0,0,0.038,10,0,--
01.07.2019,Poland,Silesia,2.8,mine collapse,induced,1,,50.23,19.04,3,6,,0.742,0,0,--
