Date (UTC),Region / Epicenter,Magnitude,Depth (km),Intensity (MMI),Fatalities,injuries,Damage level,Tsunami height
11/25/2013,"Peru, Lima",5.8,60,IV,--,1,1,--
11/27/2013,"Iran, Hormozgan",4.6,,,--,--,2,--
11/27/2013,"Spain, Andalusia",3,,,--,--,1,--
11/28/2013,"China, Yunnan",4.7,10,,--,13,4,--
11/28/2013,"Iran, Bushehr",5.7,5,,8,209,4,--
11/29/2013,"China, Yunnan",4.6,10,,--,--,1 - 2,--
11/29/2013,"Mexico, Nuevo Leon",4,,,--,--,2,--
12/1/2013,"China, Xinjiang",5.3,9,,--,--,3,--
12/1/2013,"Mexico, Guerrero",5.2,60,,--,--,1,--
12/2/2013,"South Africa, Gauteng",4,5,IV,--,--,1 - 2,--
12/4/2013,"OS Philippines, Mindanao",5.7,37,V,--,--,1 - 2,--
12/6/2013,"Indonesia, Halmahera",4.8,,,--,--,3,--
12/7/2013,"USA, Oklahoma",4.5,9,V,--,--,2,--
12/8/2013,"India, Kerala",,,,--,--,2,--
12/8/2013,"China, Jilin",4.3,,,--,--,2,--
12/10/2013,"Indonesia, Sumatra",5.5,10,,--,--,1,--
12/12/2013,"New Zealand, West Coast",4.6,7,VI,--,--,1,--
12/12/2013,Liechtenstein,4.1,7,,--,--,1,--
12/13/2013,OS El Salvador,5.9,34,,--,--,1 - 2,--
12/13/2013,"USA, California",4.2,22,,--,--,1,--
12/16/2013,"China, Hubei",5.1,5,,--,6,4,--
12/18/2013,"Italy, Umbria",3.9,9,,--,--,1 - 2,--
12/18/2013,"Indonesia, Java",4.5,5,,--,--,3,--
12/19/2013,Pakistan,5.6,6,VII,,,2,--
12/20/2013,"Mexico, Baja California",5.2,,,--,--,2,--
12/20/2013,"Italy, Molise",3.8,25,,--,--,1,--
12/21/2013,"Russia, Khakassia",5,,VI,--,--,2,--
12/22/2013,"Italy, Umbria",4,8,V ,--,--,1 - 2,--
12/27/2013,"Iran, Fars",3,5,,--,--,1,--
12/27/2013,"OS Spain, Canary Islands",5.1,15,,--,--,1,--
12/28/2013,"Mexico, Baja California","< 3,7",,,--,--,1,--
12/28/2013,OS Turkey,6,43,IV,--,--,2,--
12/28/2013,"Iran, Ilam",4.7,10,,--,--,3,--
12/29/2013,"Italy, Campania",4.9,11,V,1,2,2,--
12/31/2013,"Japan, Honshu",5.4,10,JMA 5-,--,1,--,--
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
