Date (UTC),"Country, Region (Epicenter)",Country,Magnitude,Depth (km),Intensity (MMI),Fatalities,Injuries,Damage level,buildings damaged,buildings destroyed,Tsu. height
25.11.2016,"China, Xinjiang",China,6.7,,VIII,1,--,4,600,252,--
27.11.2016,"Nepal, Eastern (aftershock)",Nepal,5.6,,,1,2,3,,1,--
29.11.2016,"Poland, Lower Silesia",Poland,"[4,5]",1.5,,8,20,,,0,--
01.12.2016,"Costa Rica, Cartago",Costa Rica,5.3,2,,--,1,2 - 3,64,2,--
01.12.2016,"Iran, Kerman",Iran,5.0,10,,--,1,2 - 3,,,--
01.12.2016,"India, Uttarakhand",India,5.2,,,--,--,1 - 2,,,--
01.12.2016,"Peru, Puno",Peru,5.6,11,VI,1,22,4 - 5,1540,597,--
4.12.2016,"China, Xizang",China,5.1,,,--,--,3,242,5,--
5.12.2016,"Malawi, Nsanje",Malawi,,,,--,--,2,20,0,--
6.12.2016,OS Trinidad and Tobago,Trinidad and Tobago,5.9,34,V,--,--,1,,,--
6.12.2016,"Indonesia, Aceh",Indonesia,6.4,8,VIII,103,857,5,19130,,--
08.12.2016,"China, Xinjiang",China,6.2,6,VIII,--,2,3,13900,40,--
08.12.2016,"OS Solomon Islands, Makita",Solomon Islands,7.8,40,VIII,1,1,4,220,246,1 m
09.12.2016,"Indonesia, Aceh (aftershock)",Indonesia,5.0,,,--,--,,,1,--
09.12.2016,"Italia, Emilia-Romagna",Italy,4.0,8,,--,--,1,2,0,--
09.12.2016,"Croatia, Split",Croatia,4.6,,VI,--,--,2,,,--
09.12.2016,"OS Solomon Islands, Makita (aftershock)",,7.1,40,VIII,,,,,,5 cm
12.12.2016,"Russia, Amur",Russia,4.4,15,,--,--,1,1,0,--
